filter_num	h_units	auroc_on_CV	mean_auroc_on_CV
32	16	[0.58949625, 0.56806004, 0.62339056, 0.5858369, 0.6137339]	0.5961034893989563
32	32	[0.58842444, 0.5669882, 0.6244635, 0.59549356, 0.59871244]	0.5948164463043213
32	64	[0.5916399, 0.5616292, 0.6190987, 0.5858369, 0.6040773]	0.5924564003944397
64	16	[0.58949625, 0.5669882, 0.6223176, 0.5858369, 0.59871244]	0.5926703214645386
64	32	[0.58842444, 0.5616292, 0.6180258, 0.5901288, 0.6030043]	0.5922424793243408
64	64	[0.5841372, 0.5637728, 0.6180258, 0.59227467, 0.6008584]	0.5918138027191162
128	16	[0.58842444, 0.5669882, 0.6223176, 0.5901288, 0.5976395]	0.5930997133255005
128	32	[0.5862808, 0.562701, 0.6244635, 0.5804721, 0.60193133]	0.5911697745323181
128	64	[0.58735263, 0.5637728, 0.6180258, 0.58798283, 0.6030043]	0.5920276641845703
